"region","year","input_group","total_adjusted_value"
"AN",2020,"H2 enduse",0.000110828090686
"AN",2020,"biomass",0.00137242268041237
"AN",2020,"coal",0
"AN",2020,"electricity",0
"AN",2020,"gas",0
"AN",2020,"refined liquids",0.00780525099802031
"AN",2025,"H2 enduse",0.000218983265747
"AN",2025,"biomass",2.139756e-05
"AN",2025,"coal",0.0002614008314
"AN",2025,"electricity",0.000476393446625
"AN",2025,"gas",8.0735571e-05
"AN",2025,"refined liquids",0.00812974232084031
"AN",2030,"H2 enduse",0.00037466763181
"AN",2030,"biomass",2.8448496e-05
"AN",2030,"coal",0.000495993772
"AN",2030,"electricity",0.000677004989065
"AN",2030,"gas",0.000323487786
"AN",2030,"refined liquids",0.00953689081670631
"AN",2035,"H2 enduse",0.00057853288973
"AN",2035,"biomass",3.6132178e-05
"AN",2035,"coal",0.000841746293
"AN",2035,"electricity",0.001029476880926
"AN",2035,"gas",0.000605161218
"AN",2035,"refined liquids",0.0109605342519663
"AN",2040,"H2 enduse",0.0008156450786
"AN",2040,"biomass",4.3428855e-05
"AN",2040,"coal",0.001180924676
"AN",2040,"electricity",0.001371001871555
"AN",2040,"gas",0.000964471679
"AN",2040,"refined liquids",0.0120578093408773
"AN",2045,"H2 enduse",0.00109287776615
"AN",2045,"biomass",5.1003438e-05
"AN",2045,"coal",0.001536871337
"AN",2045,"electricity",0.001757158183875
"AN",2045,"gas",0.0013039783019
"AN",2045,"refined liquids",0.0133633306769503
"AN",2050,"H2 enduse",0.0014214861935
"AN",2050,"biomass",5.9419933e-05
"AN",2050,"coal",0.001932036543
"AN",2050,"electricity",0.002349316429395
"AN",2050,"gas",0.001341035287
"AN",2050,"refined liquids",0.0147710240768503
"AN",2055,"H2 enduse",0.00164120875189
"AN",2055,"biomass",6.7773939e-05
"AN",2055,"coal",0.002323705475
"AN",2055,"electricity",0.002991905307975
"AN",2055,"gas",0.00131055054172
"AN",2055,"refined liquids",0.0165995166742803
"AN",2060,"H2 enduse",0.00187020284547
"AN",2060,"biomass",7.6205859e-05
"AN",2060,"coal",0.002723439205
"AN",2060,"electricity",0.003625757740985
"AN",2060,"gas",0.00128115196334
"AN",2060,"refined liquids",0.0185537520588803
"AN",2065,"H2 enduse",0.00208534131369
"AN",2065,"biomass",8.3977449e-05
"AN",2065,"coal",0.003091251166
"AN",2065,"electricity",0.004164746000175
"AN",2065,"gas",0.00140434475238
"AN",2065,"refined liquids",0.0204809835149803
"AN",2070,"H2 enduse",0.00230031921627
"AN",2070,"biomass",6.99567899999999e-06
"AN",2070,"coal",0.003452806563
"AN",2070,"electricity",0.004688783139055
"AN",2070,"gas",0.00158844190029
"AN",2070,"refined liquids",0.0224019874983803
"AP",2020,"H2 enduse",0.01273771869
"AP",2020,"biomass",0.510947397268041
"AP",2020,"coal",0.161170135135135
"AP",2020,"electricity",0.16229304029304
"AP",2020,"gas",0.0113141171025226
"AP",2020,"refined liquids",0.259576065772384
"AP",2025,"H2 enduse",0.01583429593
"AP",2025,"biomass",0.445692678836701
"AP",2025,"coal",0.304412475524135
"AP",2025,"electricity",0.26790917166246
"AP",2025,"gas",0.0336634268835226
"AP",2025,"refined liquids",0.254522294991064
"AP",2030,"H2 enduse",0.02542449482
"AP",2030,"biomass",0.420139415515361
"AP",2030,"coal",0.361334120735135
"AP",2030,"electricity",0.3329767688553
"AP",2030,"gas",0.0689123238860225
"AP",2030,"refined liquids",0.267562065672134
"AP",2035,"H2 enduse",0.03708033054
"AP",2035,"biomass",0.394854020505021
"AP",2035,"coal",0.434645233435135
"AP",2035,"electricity",0.417049760177228
"AP",2035,"gas",0.117297221712523
"AP",2035,"refined liquids",0.274934222735004
"AP",2040,"H2 enduse",0.0504805738
"AP",2040,"biomass",0.36886955964368
"AP",2040,"coal",0.505404458835135
"AP",2040,"electricity",0.50144108556355
"AP",2040,"gas",0.182775203592523
"AP",2040,"refined liquids",0.263919443549644
"AP",2045,"H2 enduse",0.0656408635
"AP",2045,"biomass",0.34268856966434
"AP",2045,"coal",0.575586355535135
"AP",2045,"electricity",0.59129378546045
"AP",2045,"gas",0.249918227022523
"AP",2045,"refined liquids",0.266027606237144
"AP",2050,"H2 enduse",0.0820883917
"AP",2050,"biomass",0.315363763811
"AP",2050,"coal",0.641168524135135
"AP",2050,"electricity",0.69256028884355
"AP",2050,"gas",0.267785207372522
"AP",2050,"refined liquids",0.260665313344314
"AP",2055,"H2 enduse",0.09155013
"AP",2055,"biomass",0.328904309413
"AP",2055,"coal",0.716982677035135
"AP",2055,"electricity",0.81191539161455
"AP",2055,"gas",0.291516185472523
"AP",2055,"refined liquids",0.265086745859584
