"region","year","input_group","total_adjusted_value"
"AN",2020,"H2 enduse",0.000110828090686
"AN",2020,"biomass",0
"AN",2020,"coal",0
"AN",2020,"electricity",0
"AN",2020,"gas",0
"AN",2020,"refined liquids",0.00780525099802031
"AN",2025,"H2 enduse",0.000218983265747
"AN",2025,"biomass",2.139756e-05
"AN",2025,"coal",0.0002614008314
"AN",2025,"electricity",0.000476393446625
"AN",2025,"gas",8.0735571e-05
"AN",2025,"refined liquids",0.00812974232084031
"AN",2030,"H2 enduse",0.00037466763181
"AN",2030,"biomass",2.8448496e-05
"AN",2030,"coal",0.000495993772
"AN",2030,"electricity",0.000677004989065
"AN",2030,"gas",0.000323487786
"AN",2030,"refined liquids",0.00953689081670631
"AN",2035,"H2 enduse",0.00057853288973
"AN",2035,"biomass",3.6132178e-05
"AN",2035,"coal",0.000841746293
"AN",2035,"electricity",0.001029476880926
"AN",2035,"gas",0.000605161218
"AN",2035,"refined liquids",0.0109605342519663
"AN",2040,"H2 enduse",0.0008156450786
"AN",2040,"biomass",4.3428855e-05
"AN",2040,"coal",0.001180924676
"AN",2040,"electricity",0.001371001871555
"AN",2040,"gas",0.000964471679
"AN",2040,"refined liquids",0.0120578093408773
"AN",2045,"H2 enduse",0.00109374722678
"AN",2045,"biomass",5.2626741e-05
"AN",2045,"coal",0.001533225842
"AN",2045,"electricity",0.001772058970075
"AN",2045,"gas",0.0012427835859
"AN",2045,"refined liquids",0.0131524196139503
"AN",2050,"H2 enduse",0.00143564204188
"AN",2050,"biomass",5.816788e-05
"AN",2050,"coal",0.001927147256
"AN",2050,"electricity",0.002539631716595
"AN",2050,"gas",0.0011287985993
"AN",2050,"refined liquids",0.0143016057648503
"AN",2055,"H2 enduse",0.00655707859992
"AN",2055,"biomass",4.1674646e-05
"AN",2055,"coal",0.002515401003
"AN",2055,"electricity",0.005308819354675
"AN",2055,"gas",0.001231999895762
"AN",2055,"refined liquids",0.0104977384047691
"AN",2060,"H2 enduse",0.01327940758519
"AN",2060,"biomass",4.00366767e-05
"AN",2060,"coal",0.0025670862035
"AN",2060,"electricity",0.006529199633585
"AN",2060,"gas",0.001146368962138
"AN",2060,"refined liquids",0.0051081025634481
"AN",2065,"H2 enduse",0.01528806466869
"AN",2065,"biomass",3.2670195088e-05
"AN",2065,"coal",0.002152690243501
"AN",2065,"electricity",0.007448398270055
"AN",2065,"gas",0.000914136687914
"AN",2065,"refined liquids",0.0043765333766061
"AN",2070,"H2 enduse",0.01730807668762
"AN",2070,"biomass",9.69907e-07
"AN",2070,"coal",6.39281e-05
"AN",2070,"electricity",0.007888523992595
"AN",2070,"gas",6.1102286151e-05
"AN",2070,"refined liquids",0.00422985641510209
"AP",2020,"H2 enduse",0.01273771869
"AP",2020,"biomass",0.510947397268041
"AP",2020,"coal",0.161170135135135
"AP",2020,"electricity",0.16229304029304
"AP",2020,"gas",0.0113141171025226
"AP",2020,"refined liquids",0.259576065772384
"AP",2025,"H2 enduse",0.01583429593
"AP",2025,"biomass",0.445692678836701
"AP",2025,"coal",0.304412475524135
"AP",2025,"electricity",0.26790917166246
"AP",2025,"gas",0.0336634268835226
"AP",2025,"refined liquids",0.254522294991064
"AP",2030,"H2 enduse",0.02542449482
"AP",2030,"biomass",0.420139415515361
"AP",2030,"coal",0.361334120735135
"AP",2030,"electricity",0.3329767688553
"AP",2030,"gas",0.0689123238860225
"AP",2030,"refined liquids",0.267562065672134
"AP",2035,"H2 enduse",0.03708033054
"AP",2035,"biomass",0.394854020505021
"AP",2035,"coal",0.434645233435135
"AP",2035,"electricity",0.417049760177228
"AP",2035,"gas",0.117297221712523
"AP",2035,"refined liquids",0.274934222735004
"AP",2040,"H2 enduse",0.0504805738
"AP",2040,"biomass",0.36886955964368
"AP",2040,"coal",0.505404458835135
"AP",2040,"electricity",0.50144108556355
"AP",2040,"gas",0.182775203592523
"AP",2040,"refined liquids",0.263919443549644
"AP",2045,"H2 enduse",0.0657227123
"AP",2045,"biomass",0.34290215990934
"AP",2045,"coal",0.567176415635135
"AP",2045,"electricity",0.59715397735045
"AP",2045,"gas",0.226886341922522
"AP",2045,"refined liquids",0.237425931468144
"AP",2050,"H2 enduse",0.0828659925
"AP",2050,"biomass",0.31513273733
"AP",2050,"coal",0.624720893835135
"AP",2050,"electricity",0.72410550706355
"AP",2050,"gas",0.219140063972523
"AP",2050,"refined liquids",0.204314748516314
"AP",2055,"H2 enduse",0.1658421717
"AP",2055,"biomass",0.102981622153
"AP",2055,"coal",0.4976326779688
"AP",2055,"electricity",1.08526904347455
"AP",2055,"gas",0.206920270583807
"AP",2055,"refined liquids",0.0890826669468465
"AP",2060,"H2 enduse",0.2909117562
"AP",2060,"biomass",0.04373733268548
"AP",2060,"coal",0.306200528554235
"AP",2060,"electricity",1.40491629878355
"AP",2060,"gas",0.165551129153637
"AP",2060,"refined liquids",0.0569981631599585
"AP",2065,"H2 enduse",0.3540049833
"AP",2065,"biomass",0.003333374094333
"AP",2065,"coal",0.21896083676791
"AP",2065,"electricity",1.62137825411655
"AP",2065,"gas",0.102923922631698
"AP",2065,"refined liquids",0.0411235630405142
"AP",2070,"H2 enduse",0.3763347959
"AP",2070,"biomass",9.53615e-05
"AP",2070,"coal",0.00628543
"AP",2070,"electricity",1.72592831310855
"AP",2070,"gas",0.0106139123198
"AP",2070,"refined liquids",0.0237807796349559
"AR",2020,"H2 enduse",0.0003323671925
"AR",2020,"biomass",0.00686211340206185
"AR",2020,"coal",0.00098
"AR",2020,"electricity",0
"AR",2020,"gas",0
"AR",2020,"refined liquids",0.00826803589771354
"AR",2025,"H2 enduse",0.0017017654642
"AR",2025,"biomass",0.00795104059781155
"AR",2025,"coal",0.00197975223971
"AR",2025,"electricity",0.00326344423668
"AR",2025,"gas",0.00321643492573
"AR",2025,"refined liquids",0.00894439012741354
"AR",2030,"H2 enduse",0.0028581131643
"AR",2030,"biomass",0.0135404289208812
"AR",2030,"coal",0.00161754320579
"AR",2030,"electricity",0.00496820891042
"AR",2030,"gas",0.00458063698349
"AR",2030,"refined liquids",0.00939282092661354
"AR",2035,"H2 enduse",0.0044127486289
"AR",2035,"biomass",0.0200740113203209
"AR",2035,"coal",0.00234818123448
"AR",2035,"electricity",0.006939356766501
"AR",2035,"gas",0.006221681730381
"AR",2035,"refined liquids",0.00981141793103354
"AR",2040,"H2 enduse",0.00625621524
"AR",2040,"biomass",0.0262338370663806
"AR",2040,"coal",0.00308645883216
"AR",2040,"electricity",0.00891416467794
"AR",2040,"gas",0.00802576578966
"AR",2040,"refined liquids",0.01010372232485
"AR",2045,"H2 enduse",0.008504795761
"AR",2045,"biomass",0.0330299430836003
"AR",2045,"coal",0.00390641366765
"AR",2045,"electricity",0.01119292535974
"AR",2045,"gas",0.00992989251756
"AR",2045,"refined liquids",0.0102455346125664
"AR",2050,"H2 enduse",0.011073038771
"AR",2050,"biomass",0.03936463382584
"AR",2050,"coal",0.00473820264293
"AR",2050,"electricity",0.01488744457037
"AR",2050,"gas",0.01094593362236
"AR",2050,"refined liquids",0.0100834240015529
"AR",2055,"H2 enduse",0.019713632104
"AR",2055,"biomass",0.06202848759
"AR",2055,"coal",0.0054856217865
"AR",2055,"electricity",0.02058339672467
"AR",2055,"gas",0.01368212079577
"AR",2055,"refined liquids",0.00742395822034088
"AR",2060,"H2 enduse",0.052136742919
"AR",2060,"biomass",0.03317726734155
"AR",2060,"coal",0.00495765733722
"AR",2060,"electricity",0.02608639506277
"AR",2060,"gas",0.01259402886633
"AR",2060,"refined liquids",0.00619398488410633
"AR",2065,"H2 enduse",0.102712276294
"AR",2065,"biomass",6.743647219e-05
"AR",2065,"coal",0.00365933443848
"AR",2065,"electricity",0.03132682820577
"AR",2065,"gas",0.001904747847096
"AR",2065,"refined liquids",0.00467505816419977
"AR",2070,"H2 enduse",0.113022191149
"AR",2070,"biomass",1.65496e-06
"AR",2070,"coal",0.000108525
"AR",2070,"electricity",0.03445415123675
"AR",2070,"gas",0.000232916814225
"AR",2070,"refined liquids",0.00436239974729322
"AS",2020,"H2 enduse",0.0025859807012
"AS",2020,"biomass",0.124890463917526
"AS",2020,"coal",0.0186144594594595
"AS",2020,"electricity",0.0248583638583638
"AS",2020,"gas",0.019751724137931
"AS",2020,"refined liquids",0.107237859815202
"AS",2025,"H2 enduse",0.005501494594
"AS",2025,"biomass",0.152060621325738
"AS",2025,"coal",0.0286658426594595
"AS",2025,"electricity",0.0505148194778739
"AS",2025,"gas",0.064342495995231
"AS",2025,"refined liquids",0.129552989182312
"AS",2030,"H2 enduse",0.009129317511
"AS",2030,"biomass",0.14306387855505
"AS",2030,"coal",0.0315735679794595
"AS",2030,"electricity",0.0705633250415739
"AS",2030,"gas",0.088707937120741
"AS",2030,"refined liquids",0.147094608168172
"AS",2035,"H2 enduse",0.01377844496
"AS",2035,"biomass",0.0638455728412629
"AS",2035,"coal",0.0371834740794595
"AS",2035,"electricity",0.0923453623053739
"AS",2035,"gas",0.120058457205971
"AS",2035,"refined liquids",0.161734936479822
"AS",2040,"H2 enduse",0.019433621444
"AS",2040,"biomass",0.0558425358054753
"AS",2040,"coal",0.0428738062794595
"AS",2040,"electricity",0.116537065554684
"AS",2040,"gas",0.163799954995731
"AS",2040,"refined liquids",0.167697962745652
"AS",2045,"H2 enduse",0.025991150368
"AS",2045,"biomass",0.0478013581655876
"AS",2045,"coal",0.0482188513794595
"AS",2045,"electricity",0.142401509749084
"AS",2045,"gas",0.207885672258181
"AS",2045,"refined liquids",0.165057264604192
"AS",2050,"H2 enduse",0.03340039696
"AS",2050,"biomass",0.0388822671437
"AS",2050,"coal",0.0531501414794595
"AS",2050,"electricity",0.209399138088984
"AS",2050,"gas",0.216815829896831
"AS",2050,"refined liquids",0.145200645421245
"AS",2055,"H2 enduse",0.06070579961
"AS",2055,"biomass",0.100000385482
